QUERY	SUBJECT	QUERY_LEN(1)	SUBJECT_LEN(1)	ALN_LEN(1)	IDENTITIES(1)	POSITIVES(1)	GAPS(1)	FRAME(1)	QUERY_LEN(2)	SUBJECT_LEN(2)	ALN_LEN(2)	IDENTITIES(2)	POSITIVES(2)	GAPS(2)	FRAME(2)	SCORE(1)	E-VALUE(1)	FRAGMENTS(1)	SCORE(2)	E-VALUE(2)	FRAGMENTS(2)
XLOC_000004	SpisGene18675	2507	2084	1966	1605	1749	0	+1/+2	2084	2507	1963	1516	1659	0	+2/+1	3768	0.0	9	3434	0.0	11
XLOC_000007	SpisGene24016	1409	736	205	192	197	0	-1/+1	736	1409	205	192	197	0	+1/-1	478	5e-134	1	478	3e-134	1
XLOC_000008	SpisGene16485	2127	258	146	141	144	0	+1/+1	258	2127	152	147	150	0	+1/+1	348	9e-95	1	363	2e-100	1
XLOC_000013	SpisGene12604	1538	1116	561	474	511	0	+3/+1	1116	1538	520	441	478	0	+1/+3	1109	0.0	4	1055	0.0	5
XLOC_000023	SpisGene15276	415	271	210	176	194	0	+1/+2	271	415	201	168	186	0	+2/+1	395	1e-109	1	418	2e-110	2
XLOC_000033	SpisGene5853	673	572	494	427	454	0	+2/+2	572	673	492	425	452	0	+2/+2	1086	0.0	4	1080	0.0	4
XLOC_000034	SpisGene5852	760	528	465	417	434	0	+1/+3	528	760	478	428	445	0	+1/+2	1051	0.0	2	1048	0.0	3
XLOC_000035	SpisGene5851	1641	734	678	506	559	0	+3/+1	734	1641	636	537	582	0	+1/+3	1148	0.0	3	1351	0.0	5
XLOC_000036	SpisGene5849	523	569	445	373	413	0	+2/+3	569	523	407	343	380	0	+1/+3	903	0.0	3	837	0.0	4
XLOC_000039	SpisGene5846	426	820	372	287	312	0	+2/+3	820	426	329	265	286	0	-1/-3	665	2e-163	5	651	4e-166	5
XLOC_000040	SpisGene5858	1132	659	509	413	449	0	+1/+3	659	1132	508	412	448	0	+3/+1	1032	0.0	4	1028	0.0	4
XLOC_000042	SpisGene5857	408	799	342	293	313	0	+1/+3	799	408	339	290	310	0	+3/+1	731	0.0	1	723	0.0	1
XLOC_000043	SpisGene5856	420	716	361	250	291	0	+3/+1	716	420	317	229	256	0	+1/+3	637	1e-137	8	594	3e-124	8
XLOC_000044	SpisGene5855	719	668	619	471	525	0	+1/+3	668	719	590	454	505	0	+3/+1	1133	0.0	6	1113	0.0	5
XLOC_000045	SpisGene5854	770	713	601	442	497	0	+1/+1	713	770	616	453	512	0	+1/+1	1112	0.0	10	1129	0.0	11
XLOC_000046	SpisGene5850	1538	916	632	454	506	0	-2/-2	916	1538	585	435	484	0	+3/+3	1047	0.0	16	1031	0.0	14
XLOC_000048	SpisGene5847	1822	513	519	427	473	0	-2/+1	513	1822	515	429	471	0	+1/-2	1052	0.0	3	1064	0.0	3
XLOC_000063	SpisGene17925	1612	784	419	301	348	0	+1/+1	784	1612	418	300	347	0	+1/+1	730	0.0	4	671	6e-169	4
