QUERY	SUBJECT	QUERY_LEN(1)	SUBJECT_LEN(1)	ALN_LEN(1)	IDENTITIES(1)	POSITIVES(1)	GAPS(1)	FRAME(1)	QUERY_LEN(2)	SUBJECT_LEN(2)	ALN_LEN(2)	IDENTITIES(2)	POSITIVES(2)	GAPS(2)	FRAME(2)	SCORE(1)	E-VALUE(1)	FRAGMENTS(1)	SCORE(2)	E-VALUE(2)	FRAGMENTS(2)
SpisGene1	g23023	490	501	297	239	269	0	+1/+1	501	490	306	243	273	0	+2/+2	609	4e-159	3	621	3e-156	4
SpisGene100	g19172	345	179	150	91	121	0	+1/+1	179	345	150	91	121	0	+1/+1	244	6e-58	2	244	2e-58	2
SpisGene1000	g26284	336	97	29	27	29	0	+2/+3	97	336	29	27	29	0	+3/+2	71	5e-12	1	71	7e-13	1
SpisGene10009	g25334	1170	1218	770	405	538	0	+1/+1	1218	1170	770	405	538	0	+1/+1	950	0.0	9	986	0.0	9
SpisGene1001	adi2mcaRNA2055_R0	1894	1577	1114	712	873	0	+1/+1	1577	1894	1251	752	940	0	+1/+1	1760	0.0	11	1822	0.0	11
SpisGene10010	g60488	1481	1119	526	261	344	0	+1/+1	1119	1481	521	260	342	0	+1/+1	611	2e-123	8	601	6e-121	8
SpisGene10011	g60487	1194	955	663	373	480	0	+1/+1	955	1194	663	373	480	0	+1/+1	914	0.0	8	870	0.0	8
SpisGene10018	g25372	805	659	512	243	334	0	+3/+1	659	805	541	256	353	0	+1/+3	580	2e-130	6	603	2e-143	5
SpisGene10018	g60475	805	659	512	242	335	0	+3/+1	659	805	541	255	354	0	+1/+3	580	3e-130	6	603	2e-143	5
SpisGene10019	g30503	580	340	305	240	274	0	+3/+1	340	580	306	239	273	0	+1/+3	577	9e-152	3	585	2e-154	3
SpisGene1002	g26301	1082	1014	661	382	481	0	+2/+1	1014	1082	607	375	457	0	+1/+2	841	0.0	6	878	0.0	8
SpisGene10024	g30497	791	137	63	39	51	0	+1/+1	137	791	94	57	76	0	+1/+1	99	6e-20	1	142	5e-34	1
SpisGene10025	g30495	415	187	119	62	80	0	+1/+1	187	415	119	62	80	0	+1/+1	140	1e-32	1	127	3e-29	1
SpisGene10026	g30496	466	221	96	56	76	0	+1/+1	221	466	96	64	80	0	+1/+1	140	3e-20	3	124	2e-28	1
SpisGene10027	g30492	286	154	112	97	104	0	+2/+1	154	286	130	106	115	0	+2/+3	265	1e-70	1	294	3e-73	2
SpisGene10028	g30490	6751	5083	4588	3061	3704	0	+1/+1	5083	6751	4658	3148	3807	0	+1/+1	7719	0.0	25	8110	0.0	29
SpisGene10029	g30487	208	150	103	63	76	0	+1/+1	150	208	110	62	76	0	+1/+1	154	4e-26	3	144	2e-23	3
SpisGene1003	adi2mcaRNA2052_R1	210	197	197	138	166	0	+1/+1	197	210	197	138	166	0	+1/+1	335	7e-92	1	335	5e-92	1
SpisGene10033	g30473	119	153	76	57	66	0	+1/+1	153	119	76	57	66	0	+1/+1	150	2e-30	2	150	1e-30	2
SpisGene10035	g30471	469	630	401	313	351	0	+1/+1	630	469	432	331	371	0	+1/+1	767	0.0	3	749	0.0	2
SpisGene10036	g30470	295	111	104	61	70	0	+1/+1	111	295	104	61	70	0	+1/+1	139	1e-32	1	139	2e-33	1
SpisGene1004	g26303	470	489	330	243	282	0	+1/+1	489	470	306	230	265	0	+1/+1	564	9e-146	3	518	6e-139	2
SpisGene10040	g30451	813	814	814	635	730	0	+1/+1	814	813	814	635	730	0	+1/+1	1515	0.0	2	1515	0.0	2
SpisGene10041	g30454	350	169	158	135	146	0	+1/+1	169	350	135	118	125	0	+1/+1	321	3e-81	2	284	2e-70	2
SpisGene10042	adi2mcaRNA24171_R0	681	438	212	108	155	0	+1/+1	438	681	178	96	133	0	+1/+1	276	4e-53	4	242	2e-49	3
SpisGene10043	g8471	353	645	197	61	97	0	+1/+1	645	353	197	61	97	0	+1/+1	106	7e-10	3	107	8e-10	3
SpisGene10044	g30461	650	648	494	361	429	0	+1/+1	648	650	529	352	436	0	+1/+1	838	0.0	6	774	0.0	5
SpisGene10045	g30462	711	391	339	216	259	0	+1/+3	391	711	356	222	268	0	+3/+1	515	7e-139	2	524	5e-142	2
SpisGene10046	g30463	131	238	97	76	84	0	+1/+1	238	131	97	76	84	0	+1/+1	178	5e-45	1	178	9e-45	1
SpisGene10047	g30464	277	280	275	243	262	0	+1/+1	280	277	275	243	262	0	+1/+1	594	3e-163	2	594	2e-163	2
SpisGene10048	g30466	770	469	333	201	256	0	+1/+1	469	770	333	204	257	0	+1/+1	484	9e-103	6	488	2e-98	7
SpisGene1005	g26304	475	354	176	132	157	0	+1/+1	354	475	176	132	157	0	+1/+1	334	1e-84	2	334	4e-85	2
SpisGene10050	g38240	448	541	446	386	414	0	+2/+1	541	448	446	386	414	0	+1/+2	977	0.0	1	977	0.0	1
SpisGene10051	g56285	524	260	135	101	114	0	+3/+3	260	524	131	98	111	0	+3/+3	243	2e-57	2	238	2e-56	2
SpisGene10053	g38241	481	459	392	215	290	0	+1/+1	459	481	392	215	290	0	+1/+1	526	6e-131	4	575	1e-145	4
SpisGene10056	g38244	717	430	349	210	267	0	+1/+1	430	717	283	184	227	0	+1/+1	519	1e-126	5	488	9e-118	5
SpisGene10058	g34978	422	115	111	84	93	0	+1/+1	115	422	97	77	86	0	+1/+1	219	2e-56	1	209	2e-48	2
SpisGene10059	g34979	771	309	297	210	249	0	+2/+1	309	771	297	210	249	0	+1/+2	474	1e-126	2	506	1e-136	2
SpisGene1006	g26307	1130	724	690	533	611	0	+2/+1	724	1130	673	518	596	0	+1/+2	1258	0.0	3	1214	0.0	4
SpisGene10060	g34980	424	282	281	231	260	0	+1/+1	282	424	281	231	260	0	+1/+1	570	1e-155	2	551	3e-150	2
SpisGene10061	g34981	2312	1775	1693	1135	1342	0	+2/+3	1775	2312	1664	1146	1342	0	+1/+3	2718	0.0	14	2705	0.0	11
SpisGene10062	g34983	477	529	268	163	219	0	+1/+1	529	477	285	170	227	0	+1/+1	429	7e-120	1	443	6e-124	1
SpisGene10063	g34984	570	469	350	239	287	0	+1/+1	469	570	339	226	274	0	+1/+1	613	1e-162	3	578	4e-158	2
SpisGene10064	g34997	491	359	153	92	118	0	+1/+1	359	491	160	99	124	0	+1/+1	236	1e-36	5	251	3e-41	5
SpisGene10067	g35000	2044	1571	1412	905	976	0	-2/-2	1571	2044	1474	1064	1254	0	+1/+2	1857	0.0	10	2924	0.0	8
SpisGene10068	g35002	659	491	440	268	340	0	+2/+1	491	659	424	248	310	0	+1/+2	671	1e-168	5	593	3e-145	5
SpisGene10069	g35003	1673	1271	1145	683	862	0	+1/+1	1271	1673	1117	670	844	0	+1/+1	1961	0.0	10	1923	0.0	8
SpisGene1007	g26308	359	421	354	259	308	0	+1/+1	421	359	354	259	308	0	+1/+1	627	3e-173	2	598	2e-164	2
SpisGene10071	g34988	504	459	413	279	336	0	+2/+2	459	504	344	243	287	0	+1/+1	697	2e-178	5	591	0.0	3
SpisGene10072	g34987	407	475	298	166	220	0	+3/+3	475	407	304	163	219	0	+2/+2	418	3e-103	4	412	1e-91	5
SpisGene10073	g34985	737	683	444	303	360	0	+2/+1	683	737	485	317	374	0	+2/+3	734	0.0	5	727	0.0	5
SpisGene10078	g29967	903	436	301	177	218	0	+2/+1	436	903	295	175	216	0	+1/+2	409	1e-85	5	406	3e-85	5
SpisGene1008	g26309	652	649	618	491	572	0	+1/+1	649	652	576	465	534	0	+1/+1	1210	0.0	2	1204	0.0	3
SpisGene10081	adi2mcaRNA19873_R9	1313	326	192	99	138	0	+3/+1	326	1313	192	99	138	0	+1/+3	281	4e-48	5	294	2e-52	5
SpisGene1009	g26310	404	166	152	135	144	0	+1/+1	166	404	152	135	144	0	+1/+1	266	1e-70	1	302	3e-82	1
